id,language,question_type,question_text,question_image_url,option_1,option_2,option_3,option_4,correct_index,category,tags,hint,enabled,preview_q,preview_o1,preview_o2,preview_o3,preview_o4
vq-120,bn,text_to_image,নিচের ছবিগুলোর মধ্যে কোনটি এইচটি বুশিং?,,dtr_lt_bushing.webp,dtr_ht_bushing.webp,dtr_radiator.webp,dtr_main_tank.webp,1,DTR Identification,ht_bushing,এটি উচ্চ ভোল্টেজ সাইডে সংযোগের প্রধান বুশিং।,TRUE,,dtr_lt_bushing.webp,dtr_ht_bushing.webp,dtr_radiator.webp,dtr_main_tank.webp
vq-121,bn,text_to_image,নিচের ছবিগুলোর মধ্যে কোনটি এলটি বুশিং?,,dtr_lt_bushing.webp,dtr_ht_bushing.webp,dtr_radiator.webp,dtr_main_tank.webp,0,DTR Identification,lt_bushing,এলটি সাইডে সাধারণত একাধিক ছোট বুশিং পাশাপাশি থাকে।,TRUE,,dtr_lt_bushing.webp,dtr_ht_bushing.webp,dtr_radiator.webp,dtr_main_tank.webp
vq-122,bn,text_to_image,নিচের ছবিগুলোর মধ্যে কোনটি রেডিয়েটর ব্যাংক?,,dtr_lt_bushing.webp,dtr_ht_bushing.webp,dtr_radiator.webp,dtr_main_tank.webp,2,DTR Identification,radiator,এটি তেল ঠান্ডা করতে প্রাকৃতিক বাতাস ব্যবহার করে।,TRUE,,dtr_lt_bushing.webp,dtr_ht_bushing.webp,dtr_radiator.webp,dtr_main_tank.webp
vq-123,bn,text_to_image,নিচের ছবিগুলোর মধ্যে কোনটি মেইন অয়েল ট্যাঙ্ক?,,dtr_lt_bushing.webp,dtr_ht_bushing.webp,dtr_radiator.webp,dtr_main_tank.webp,3,DTR Identification,main_tank,এটি ট্রান্সফরমারের প্রধান তেল ধারণকারী বডি।,TRUE,,dtr_lt_bushing.webp,dtr_ht_bushing.webp,dtr_radiator.webp,dtr_main_tank.webp
vq-125,bn,image_to_text,উচ্চতায় কাজ করার সময় পতন রোধে ব্যবহৃত এই সরঞ্জামের ব্যবহারের আগে কোনটি পরীক্ষা করা জরুরি?,img_13w1fWNGZg5UQXWuZxEyF6hk3IwncdefC.jpg,শুধুমাত্র কোমরের বেল্ট টাইট করা,ব্যবহারের আগে ডি-রিং পরীক্ষা করা,ল্যানিয়ার্ড হুকটি পকেটে রাখা,শুধু শোল্ডার স্ট্র্যাপ বেঁধে রাখা,1,PPE,"harness,fall_protection",কোমরের বেল্ট ও শোল্ডার স্ট্র্যাপ ঠিকভাবে টাইট করুন। ডি-রিং পরীক্ষা করুন।,TRUE,img_13w1fWNGZg5UQXWuZxEyF6hk3IwncdefC.jpg,,,,
vq-126,bn,image_to_text,বৈদ্যুতিক লাইনে কাজের এই গ্লাভস ব্যবহারের প্রধান শর্ত কী?,img_1MAUYMbUWD91sOWrr2S07vFnLFke6hReM.jpg,রোদে শুকিয়ে ব্যবহার করা,বাতাস দিয়ে ফুটো পরীক্ষা করা,সাবান জল দিয়ে ধুয়ে নেওয়া,তেল মেখে ব্যবহার করা,1,PPE,"gloves,electrical",প্রতিটি ব্যবহারের আগে বাতাসের মাধ্যমে ফুটো (pinhole) পরীক্ষা বাধ্যতামূলক।,TRUE,img_1MAUYMbUWD91sOWrr2S07vFnLFke6hReM.jpg,,,,
vq-127,bn,text_to_image,এবি ক্যাবলের মূল লাইন থেকে সার্ভিস লাইন বের করতে কোনটি?,,img_1I76aLipndV0iVXXQpbY0y8evnNn1Zf-v.jpg,img_1mdOcnBpdzvbzTGKiHI_L4on-HU6vdMsz.jpg,img_1hze6ij_rw6SvZ5k5gFrF6Y5dGW55uGPW.jpg,img_1bMetcuEvRyPg7mq7aZua_bKrtpPoUt5a.jpg,1,AB Cable Items,"ipc,connector",নাটটি ততক্ষণ টাইট দিন যতক্ষণ না শিয়ার হেড ভেঙে পড়ে।,TRUE,,img_1I76aLipndV0iVXXQpbY0y8evnNn1Zf-v.jpg,img_1mdOcnBpdzvbzTGKiHI_L4on-HU6vdMsz.jpg,img_1hze6ij_rw6SvZ5k5gFrF6Y5dGW55uGPW.jpg,img_1bMetcuEvRyPg7mq7aZua_bKrtpPoUt5a.jpg
vq-128,bn,image_to_text,এলটি (LT) লাইনের মোড় বা শেষ প্রান্তে ব্যবহৃত এই ইনসুলেটরটি কী?,img_1U_MIUBgX9Vm83lNewQxL9oVEPgEQnRdQ.jpg,পিন ইনসুলেটর,ডিস্ক ইনসুলেটর,শ্যাকল ইনসুলেটর,স্টে ইনসুলেটর,2,Insulators,"shackle,lt_line",এটি এলটি লাইনে তার বাঁধার জন্য ব্যবহৃত হয়।,TRUE,img_1U_MIUBgX9Vm83lNewQxL9oVEPgEQnRdQ.jpg,,,,
vq-129,bn,image_to_text,ছবিতে দেখানো ইনসুলেটরটি কী?,img_1XScwrEuTsvBz-2eFw0SOp300YRDtG7yI.jpg,পিন ইনসুলেটর,ডিস্ক ইনসুলেটর,শ্যাকল ইনসুলেটর,রিল ইনসুলেটর,1,Insulators,"disc,tension",ডিস্ক ইনসুলেটর টান বা সাসপেনশন লাইনে ব্যবহৃত হয়।,TRUE,img_1XScwrEuTsvBz-2eFw0SOp300YRDtG7yI.jpg,,,,
vq-130,bn,image_to_text,লাইনম্যানের জন্য সুরক্ষা হেলমেট হিসেবে কোন রঙটি সাধারণত উপযুক্ত?,img_13QNSikc8W6cAWqM6MXSYMdx7Mzs9OKx5.jpg,হলুদ,লাল,সবুজ,কালো,0,PPE,"helmet,safety",হলুদ রঙের হেলমেট সাধারণত লাইনম্যানরা ব্যবহার করেন।,TRUE,img_13QNSikc8W6cAWqM6MXSYMdx7Mzs9OKx5.jpg,,,,
